Unnamed: 0,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,instant_bookable,area_sqmiles,NatWalkInd,host_response_time_ord,safety_amenities_count,convenience_amenities_count,room_type_Hotel room,room_type_Private room,room_type_Shared room,is_unique_stay,population_per_sqmile,crime_per_1000,host_years,price_per_person,log_dist_km_downtown,log_dist_km_airport,source_city_OAK,source_city_SD,source_city_SF,listing_age_years,reviews_per_year,stratify_col
31,-1.0,-1.0,0.0,1.0,1.0,1.0,37.78851,-122.20825,2,1.0,1.0,1.0,3,1125,4,5.0,0.0,0.3331795896,14.5,-1.0,2,4,0,0,0,0,18953.74205719353,98.3372921615202,14.44,150.0,1.9169404365813356,2.145336146098566,1,0,0,12.906849315068492,0.3099129696455105,OAK_Entire home/apt
32,1.0,0.5,1.0,1.0,1.0,1.0,37.82364,-122.25019,4,1.0,1.0,2.0,30,90,158,4.88,0.0,0.0888694092,16.25,0.0,4,5,0,0,0,0,29515.21815675579,147.9222264582539,13.55,36.0,1.3416650861907586,2.5383584583818775,1,0,0,12.991780821917809,12.161535217207929,OAK_Entire home/apt
33,-1.0,-1.0,0.0,1.0,1.0,1.0,37.82364,-122.24942,2,1.0,1.0,1.0,30,33,75,4.96,0.0,0.0888694092,16.25,-1.0,3,5,0,1,0,0,29515.21815675579,147.9222264582539,14.7,50.0,1.353235070732127,2.537189200167043,1,0,0,12.994520547945204,5.771663504111322,OAK_Private room
34,1.0,0.69,0.0,1.0,1.0,1.0,37.82987,-122.25396,4,2.0,2.0,4.0,3,60,123,4.92,0.0,0.2197993941,17.416666665,0.0,3,7,0,0,0,0,14353.997711952748,174.6434231378764,13.03,47.0,1.438184635682577,2.595919644456343,1,0,0,12.726027397260276,9.665231431646932,OAK_Entire home/apt
35,1.0,0.97,1.0,7.0,1.0,1.0,37.8271,-122.26424,4,1.0,1.0,2.0,2,60,512,4.96,0.0,0.3371934852,16.5416666675,0.0,3,2,0,0,0,0,16687.7482720713,361.6491913986138,12.98,31.0,1.2809910859125049,2.5921266638848435,1,0,0,12.972602739726028,39.46779303062302,OAK_Entire home/apt
36,1.0,0.62,0.0,1.0,1.0,1.0,37.81662,-122.23995,1,1.0,1.0,1.0,3,30,141,4.63,0.0,0.2519951148,16.166666665,2.0,4,4,0,0,0,0,15857.450265143,208.45845845845844,13.91,75.0,1.401283151514655,2.461437078785196,1,0,0,12.915068493150685,10.91747984726347,OAK_Entire home/apt
37,1.0,0.97,1.0,2.0,1.0,1.0,37.82983,-122.289,2,1.0,1.0,1.0,180,500,8,5.0,0.0,0.4197378042,17.916666665,1.0,4,8,0,0,0,0,9696.529498354868,13.022113022113022,13.4,48.5,1.4440049477199706,2.6716982362300006,1,0,0,12.917808219178085,0.6193001060445387,OAK_Entire home/apt
38,0.96,0.88,1.0,1.0,1.0,1.0,37.84358,-122.27254,1,1.0,1.0,1.0,1,6,706,4.88,0.0,0.3340309401,16.0,0.0,2,3,0,1,0,0,13184.407404540309,108.31062670299728,15.85,60.0,1.6794870273059144,2.729600239663997,1,0,0,10.084931506849315,70.0054333061668,OAK_Private room
39,1.0,0.97,1.0,2.0,1.0,1.0,37.85141,-122.24972,2,1.0,1.0,1.0,3,90,224,4.92,0.0,0.4188107781,15.166666666666666,1.0,2,5,0,0,0,0,8261.48748056778,2.3121387283236996,14.61,80.5,1.8809439235973904,2.752309437710997,1,0,0,12.745205479452055,17.57523645743766,OAK_Entire home/apt
40,1.0,0.6,1.0,2.0,1.0,1.0,37.8179,-122.24161,2,1.0,1.0,1.0,7,180,132,4.91,0.0,0.2519951148,16.166666665,0.0,4,5,0,0,0,0,15857.450265143,208.45845845845844,12.7,52.5,1.3861449027422137,2.4753414544436327,1,0,0,12.32054794520548,10.713809206137425,OAK_Entire home/apt
41,1.0,0.82,0.0,2.0,1.0,1.0,37.77718,-122.17872,4,1.5,2.0,2.0,3,12,100,4.84,0.0,0.347930154,12.555555553333337,1.0,4,6,0,0,0,0,13632.046390552285,105.41851149061776,12.81,42.75,2.268542185742692,2.1071052236358185,1,0,0,12.243835616438355,8.167375251734168,OAK_Entire home/apt
42,1.0,0.98,1.0,2.0,1.0,1.0,37.8439,-122.25837,4,0.0,1.0,0.0,2,12,528,4.86,0.0,0.2765008818,17.61111111,0.0,3,7,0,0,0,0,15895.066848933284,76.45051194539249,12.97,34.625,1.7115370281985305,2.709136457517184,1,0,0,12.536986301369865,42.11538461538461,OAK_Entire home/apt
43,0.0,-1.0,0.0,2.0,1.0,1.0,37.80438,-122.23975,2,1.0,1.0,0.0,2,30,11,4.64,0.0,0.3312035298,15.45833333,3.0,2,4,0,0,0,0,14842.83697993366,114.32058584214808,12.73,66.5,1.3238351396451895,2.3395685136960673,1,0,0,12.550684931506847,0.8764461907880375,OAK_Entire home/apt
