CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,Location
STOLEN AND RECOVERED VEHICLE,2023 Jan 01 12:00:00 AM,23-908778,ATTEMPT VEHICLE THEFT-AUTO,13X,00 BUCKEYE AV,Oakland,CA,
FORGERY & COUNTERFEITING,2023 Jan 01 12:00:00 AM,24-004506,OBT CREDIT/ETC:OTHER'S ID,03Y,400 7TH ST,Oakland,CA,POINT (-122.27313 37.79908)
DOMESTIC VIOLENCE,2023 Jan 01 12:00:00 AM,24-030218,CRUELTY TO ELDER/DEPENDENT ADULT,02Y,1100 CHESTER ST,Oakland,CA,POINT (-122.29475 37.80899)
EMBEZZLEMENT,2023 Jan 01 12:00:00 AM,24-046912,ELDER ABUSE BY THEFT OR EMBEZZLEMENT,22Y,00 KINGWOOD RD,Oakland,CA,
EMBEZZLEMENT,2023 Jan 01 12:00:00 AM,24-052737,EMBEZZLEMENT [OVER $400],25X,3500 KANSAS ST,Oakland,CA,POINT (-122.19913 37.79443)
FORGERY & COUNTERFEITING,2023 Jan 01 12:00:00 AM,24-913260,THEFT BY USE OF ACCESS CARD,25Y,6200 BOULDER AV,Oakland,CA,POINT (-122.16509 37.77925)
FRAUD,2023 Jan 01 12:00:00 AM,24-908517,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,01X,100 4TH ST,Oakland,CA,POINT (-122.26734 37.79422)
NARCOTICS,2023 Jan 01 12:00:00 AM,25-022885,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,06X,34TH ST & SAN PABLO AV,Oakland,CA,POINT (-122.27791 37.8252)
NARCOTICS,2023 Jan 01 12:00:00 AM,25-022885,USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE (AMENDED),06X,34TH ST & SAN PABLO AV,Oakland,CA,POINT (-122.27791 37.8252)
PETTY THEFT,2023 Jan 01 12:00:00 AM,25-012451,THEFT,29X,2600 63RD AV,Oakland,CA,POINT (-122.18732 37.76957)
FRAUD,2023 Jan 01 12:00:00 AM,25-904305,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,04X,1500 JACKSON ST,Oakland,CA,POINT (-122.26458 37.80302)
FELONY ASSAULT,2023 Jan 01 12:01:00 AM,23-000004,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,27Y,62ND AV & BROMLEY AV,Oakland,CA,POINT (-122.19475 37.76568)
FELONY ASSAULT,2023 Jan 01 12:03:00 AM,23-001435,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,32X,1000 105TH AV,Oakland,CA,POINT (-122.17255 37.73653)
