objectid,nibrs_uniq,case_number,occured_on,approved_on,day_of_week,month,year,code_section,group_type,ibr_category,crime_against,ibr_offense,ibr_offense_description,pd_offense_category,violent_crime,property_crime,beat,neighborhood,service_area,division_number,division,block_addr,city,state,zip,query_run_date,geocode_status,geocode_score,latitude,longitude
65,2919208_35A,21046484,2021-09-30 17:55:00,2021-09-30 23:50:43,5,9,2021,11550 (A) HS USE/UNDER INFL OF CONTROLLED SUBS (M) || ,A,DRUG/NARCOTIC OFFENSES,SO,35A,Drug/narcotic Violations,Drug/Narcotic Violations,0,0,525.0,Horton Plaza,520.0,5.0,Central,600 Union ST,SD,CA,92101.0,2025-03-28 16:18:45,M,100.0,32.71152777274196,-117.16566682930332
66,186325_23H,20704758,2020-06-19 13:00:00,2020-06-22 16:28:48,6,6,2020,488 PC PETTY THEFT(All Other Larceny) (M) || ,A,LARCENY/THEFT OFFENSES,PR,23H,All Other Larceny,Larceny,0,1,522.0,Marina,520.0,5.0,Central,,,CA,92101.0,2025-03-28 16:18:45,U,0.0,,
67,2992257_240_1,22303065,2022-06-03 18:00:37,2022-06-06 07:15:34,6,6,2022,10851 (A) VC TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F) || ,A,MOTOR VEHICLE THEFT,PR,240,Motor Vehicle Theft,Motor Vehicle Theft,0,0,712.0,San Ysidro,710.0,7.0,Southern,,SAN DIEGO,CA,92173.0,2024-04-26 12:03:19.800000,M,97.14,32.54546794814618,-117.0386723352828
68,2834147_23F,20710420,2020-12-29 23:00:00,2020-12-31 08:40:21,3,12,2020,459 PC BURGLARY (VEHICLE) (F) || ,A,LARCENY/THEFT OFFENSES,PR,23F,Theft From Motor Vehicle,Theft From Motor Vehicle,0,1,242.0,Mira Mesa,240.0,2.0,Northeastern,,,CA,92126.0,2025-03-28 16:18:45,U,0.0,,
69,3123606_23H,23710249,2023-08-08 09:26:00,2023-08-08 21:36:42,3,8,2023,488 PC PETTY THEFT(All Other Larceny) (M) || ,A,LARCENY/THEFT OFFENSES,PR,23H,All Other Larceny,Larceny,0,1,526.0,Cortez,520.0,5.0,Central,1500 05TH AVENUE,SAN DIEGO,CA,92101.0,2023-09-11 08:41:49,M,96.88,32.72099208580671,-117.16027059441916
70,2876593_09A_2,21023464,2021-05-21 17:57:34,2021-11-09 12:07:09,6,5,2021,187 (A) PC MURDER (F) || ,A,HOMICIDE OFFENSES,PE,09A,Murder and Nonnegligent Manslaughter,Homicide,1,0,447.0,Ridgeview/Webster,440.0,4.0,Southeastern,4700 Chollas PKWY,SAN DIEGO,CA,92105.0,2023-09-11 08:41:49,M,96.97,32.727877858961286,-117.09291376692644
71,3021139_23F,22710514,2022-08-12 12:30:00,2022-09-08 18:15:36,6,8,2022,487 (A) PC GRAND THEFT (Theft From Mot Veh) (F) || ,A,LARCENY/THEFT OFFENSES,PR,23F,Theft From Motor Vehicle,Theft From Motor Vehicle,0,1,313.0,Kearney Mesa,310.0,3.0,Eastern,7900 OSTROW STREET,SAN DIEGO,CA,92111.0,2023-09-11 08:41:49,M,97.06,32.813636692230354,-117.15512286121532
72,2830336_240_1,20305513,2020-12-16 18:00:00,2021-01-18 14:39:09,4,12,2020,10851 (A) VC TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F) || ,A,MOTOR VEHICLE THEFT,PR,240,Motor Vehicle Theft,Motor Vehicle Theft,0,0,241.0,Scripps Ranch,240.0,2.0,Northeastern,11400 Forestview LN,SAN DIEGO,CA,92131.0,2023-09-11 08:41:49,M,97.14,32.91380825571997,-117.08854913841404
73,2971394_23H,22703590,2022-03-24 12:45:00,2022-03-25 12:50:38,5,3,2022,488 PC PETTY THEFT(All Other Larceny) (M) || ,A,LARCENY/THEFT OFFENSES,PR,23H,All Other Larceny,Larceny,0,1,627.0,Hillcrest,620.0,6.0,Western,1000 UNIVERSITY AVENUE,SAN DIEGO,CA,92103.0,2023-09-11 08:41:49,M,97.37,32.74848643439887,-117.1552008690164
74,170288_26B,20021695,2020-04-21 14:40:00,2020-04-21 20:23:36,3,4,2020,484 G PC THEFT BY USE OF ACCESS CARD INFORMATION [$950 OR LESS] (M) || ,A,FRAUD OFFENSES,PR,26B,Credit Card/Automatic Teller Fraud,Fraud/Counterfeiting,0,0,611.0,Midway District,610.0,6.0,Western,,San Diego,CA,92106.0,2024-04-26 12:03:19.800000,M,97.3,32.73625437199275,-117.21749549064506
75,3074695_90D,23009498,2023-03-05 19:25:49,2023-03-06 00:11:29,1,3,2023,23152 (G) VC DUI ALCOHOL/DRUG (M) || ,B,"GROUP ""B"" OFFENSES",SO,90D,Driving Under the Influence,Alcohol Violations,0,0,835.0,Azalea/Hollywood Park,830.0,8.0,Mid-City,2500 Snowdrop ST,SAN DIEGO,CA,92105.0,2023-09-11 08:41:49,M,96.88,32.732987928898126,-117.1034250123584
76,3044145_13A_2,22050800,2022-11-23 13:43:45,2022-11-23 18:40:32,4,11,2022,245 (A)(1) PC ASSAULT W/DEADLY WEAPON:NOT F/ARM (F) || ,A,ASSAULT OFFENSES,PE,13A,Aggravated Assault,Aggravated Assault,1,0,521.0,East Village,520.0,5.0,Central,14th ST & national AVE,SAN DIEGO,CA,92113.0,2023-09-11 08:41:49,M,97.14,32.70540670506524,-117.15190143778226
77,3027452_13A_2,22042245,2022-09-29 19:51:00,2022-09-30 00:09:50,5,9,2022,245 (A)(1) PC ASSAULT W/DEADLY WEAPON:NOT F/ARM (F) || ,A,ASSAULT OFFENSES,PE,13A,Aggravated Assault,Aggravated Assault,1,0,311.0,Serra Mesa,310.0,3.0,Eastern,3400 Ruffin RD,SAN DIEGO,CA,92123.0,2023-09-11 08:41:49,M,96.67,32.805011404462725,-117.128847359336
